path,md5,sha1,sha256,crc32c
D:\Windows 2000.7z\ZRMPSEL_CN.iso,c23ef568b3eb2e06896ad842b02961bc,82eb2eb7f145ebd0a23bc7e2767788ba88b91e69,ff905d8cc8c366e5a4b18bbba13513e64d7b62755abc3fd54a75d707e270b6b9,053d251d
D:\Windows 7.7z\7601.24214.180801-1700.win7sp1_ldr_escrow_CLIENT_ULTIMATE_x64FRE_en-us.iso,8ce237e3d43ccfb41bfe32ccd4420e10,7cc76b0015220de956328fb934d61b710a94293d,dec04cbd352b453e437b2fe9614b67f28f7c0b550d8351827bc1e9ef3f601389,1ea57dd8
D:\Windows 98.7z\SC_WIN98SE.exe,4049bef7b62f3a7c08f5e779353c6407,9014ac7b67fc7697dea597846f980db9b3c43cd4,4158c9386b18ccc9f031cf8fc058b167811172fb89f0d2c41fe2614c78ecdbaf,c343f062
D:\Windows Server 2003.7z\cn_windows_server_2003_sp2_x86_cd.iso,3a17724b2dd233540341222a770e4963,64572b06732aab408fbc561c685450ef34390c9e,d8b24fcce36db7c307301e1a1a2ab55c450a21660284b39171e8266bb2243210,eddd827e
D:\Windows Server 2003.7z\Windows Server 2003 R2\cn_win_srv_2003_r2_enterprise_with_sp2_vl_cd1_X13-46432.iso,1017479075166ba7dd762392f8274fe3,d0dd2782e9387328ebfa45d8804b6850acabf520,37c6deac64146c128fe3f6bbd505d3b6c4166f56fcb819beb3aa9909e084bb75,a7285c16
D:\Windows Server 2003.7z\Windows Server 2003 R2\cn_win_srv_2003_r2_enterprise_with_sp2_vl_cd2_X13-13895.iso,9160be18a627692c996bd3ad22fb7dbd,4b364e848fcc59762dddced1493248e2896ee033,5b957de8d2788b10ad53ec690c0d5cc774ed6c8f00378f3d2e1b1f8e06164cb1,bdd98406
D:\Windows Server 2008.7z\Windows Server 2008 R2\cn_windows_server_2008_with_sp2_x64_dvd_x15-41319.iso,95708e829f4ba386824742b070cadb79,e722e8f91722efe988fa274a5062ee978e53c22a,28512fbdc1a485c1fec79dbb1d376aa17d7931313fc1a0703e85bfaeedd95136,1751136c
D:\Windows Server 2008.7z\Windows Server 2008 R2 SP1\cn_windows_server_2008_r2_with_sp1_x64_dvd_617598.iso,bcbbce8d75d836777e864759c5b8cde0,38bff8da3beaa742eca54a6f584403bd253444b5,c3ebcb5e6b709e3e19c91be3b6a364ee44ff97202c5f57193bed23a749ab926c,eda4aa3c
D:\Windows Server 2012.7z\cn_microsoft_hyper-v_server_2012_x64_dvd_915786.iso,49d244d4c643412e0529c4f2c98191b3,43d42d1c1d9c782d64815d9814c3653c66e733f7,c25a9ce1a29940821bf16db8cdba462ca70308cce2a52688a35d9e92f44bea19,d1c0e01a
D:\Windows Server 2012.7z\Windows Server 2012 R2\cn_windows_server_2012_r2_with_update_x64_dvd_6052725.iso,02932ea7f9d81a452290dff5c8b2c8c5,82292fa197e6c9dd9af8f7e68e7a79a5da1dda2b,dbe8c14bfc1a621ce527c0ad5d66b52f75d12ec2a09f5ca9a92d1e2a0bcadee9,d6573387
