path,md5,sha1,sha256,crc32c
D:\Windows 10.7z\Win10_22H2_Chinese_Simplified_x64v1.iso,f494b6b9335f86fa72fd541fc75aef43,d01485f28bc42f3802e47ad44657f15319330985,d485d370406cbcb68959718817bd12ed87e537a14c885f84962e07136fc4a049,0e204d99
D:\Windows 10.7z\Windows-22H2.iso,fbb30271e70075a82bd280a80b6f101c,460a1b9eb97d0190eb1b6e43094f116d1b6b2cbb,2d49937618831e763b5542fd8277b14d03e6918c2508e8ca6de98ff165a70c17,c190d7b7
D:\Windows 10.7z\Windows 10 IoT LTSB\SW_DVD5_Win10_IoT_Enterprise_LTSB_1607_64-bit_EMB_English_OEM_X21-05293.IMG,4a917259326464603dd44d70bd7ef827,470f865f42b7182472f5cd461ff3480ed363d5eb,1cce12f802ce9cd178d88a2612a8c8ec853f58b69d247d2ec6a2b8b1d713c193,abcf7734
D:\Windows 10.7z\Windows 10 IoT LTSB\SW_DVD5_Win_10_IOT_Enterprise_2015_LTSB_64Bit_EMB_English_OEM_X20-20063.IMG,b7ccf912d6e34a8410859da4a9eab86f,5038676967c09b596a84efd76ebbd0ee35c5c490,665735baa2d045b09502c7e07837ce51e067f9107c7cbe910717297525aa4888,000a3269
D:\Windows 10.7z\Windows 10 IoT LTSC\en-us_windows_10_iot_enterprise_ltsc_2021_x64_dvd_257ad90f.iso,2463b19beac328290e6a8adcedb7533a,76c3c10e38307d29fd8b4748522ed144dba35829,a0334f31ea7a3e6932b9ad7206608248f0bd40698bfb8fc65f14fc5e4976c160,5aea2b09
D:\Windows 10.7z\Windows 10 IoT LTSC\en_windows_10_iot_enterprise_ltsc_2019_x64_dvd_a1aa819f.iso,ebd96a1558e05845f7f59991cd9c2139,b91f18cf0d63df2044f3a773eef5e58293c652b5,0acb0766f0591fe917e00ba8eb2fbdd32a36a2345492191e0376130a45974795,0d6a9033
D:\Windows 10.7z\Windows 10 IoT LTSC\SW_DVD5_Win10_IoT_Enterprise_LTSB_1607_64-bit_EMB_English_OEM_X21-05293.IMG,4a917259326464603dd44d70bd7ef827,470f865f42b7182472f5cd461ff3480ed363d5eb,1cce12f802ce9cd178d88a2612a8c8ec853f58b69d247d2ec6a2b8b1d713c193,abcf7734
D:\Windows 10.7z\Windows 10 LTSB\cn_windows_10_enterprise_2016_ltsb_x64_dvd_9060409.iso,0343dc55184a406af9a8ab0d964cccc6,9e405e950890d2a196565bca35e152f9cfad296d,a4f454748d50d2461957d6d3b0ac80af6e2248614147d9fadc69f2eae83b376f,9c62d06e
D:\Windows 10.7z\Windows 10 LTSC\cn_windows_10_enterprise_ltsc_2019_x64_dvd_9c09ff24.iso,0d98f58465929ee524ce3aec0832a58b,24b59706d5eded392423936c82ba5a83596b50cc,aa4ea00581aa84999dbfe0627499b392e10c75912d6e2f1635eb7c4b9139fb5f,c0ca67ae
D:\Windows 10.7z\Windows 10 LTSC\SW_DVD9_WIN_ENT_LTSC_2021_64BIT_ChnSimp_MLF_X22-84402.ISO,2579b3865c0591ead3a2b45af3cabeee,c19d7dafbafeb26c36e31d97c465e87c7a6e8a4c,c117c5ddbc51f315c739f9321d4907fa50090ba7b48e7e9a2d173d49ef2f73a3,111d91cc
D:\Windows 10.7z\Windows 10 LTSC\zh-cn_windows_10_enterprise_ltsc_2021_x64_dvd_033b7312.iso,2579b3865c0591ead3a2b45af3cabeee,c19d7dafbafeb26c36e31d97c465e87c7a6e8a4c,c117c5ddbc51f315c739f9321d4907fa50090ba7b48e7e9a2d173d49ef2f73a3,111d91cc
