path,md5,sha1,sha256,crc32c
C:\Users\Administrator\Downloads\123pan_2.5.3.exe,6e0d2ddf7d7e4f8ef28708afc3c67e69,5f5f29b42bb494d6280d23a13186130ac9f209cf,5388271c19f96dbe094ab5d883c9126453626735a151f0c08c50b4b5f96d1dd2,b36a4426
C:\Users\Administrator\Downloads\19045.3803.231204-0204.22h2_release_svc_refresh_CLIENTBUSINESS_VOL_A64FRE_zh-cn.iso,277c776ad35f9815a7d6211e84cdb070,90d329697fcd4aa3a4e8ab2c46e94de1633c9cb9,d1b06f302c6f1bebdf4809ad370cf1add312e9174118c2f9e86b2c9d79746c45,79cae866
C:\Users\Administrator\Downloads\26100.4349.250607-1500.ge_release_svc_refresh_CLIENTCONSUMER_RET_A64FRE_zh-cn.iso,fbc5494ae8614a0faac340288f56a58a,cf0c32c32bf418787e942f793f4efbd2a080dcc1,d93f21b7ff42c7e1feaf9d269a1aa32f73692d102cbc9139cc4ce6a3d95394b6,915a67ff
C:\Users\Administrator\Downloads\7z2501-arm64.exe,08300e6f2a0bb9461c26c99d51a32b3a,17fe72d57ef65d49a8734e11e084150bb75bf152,6365c7c44e217b9c1009e065daf9f9aa37454e64315b4aaa263f7f8f060755dc,a30432be
C:\Users\Administrator\Downloads\7z2501-x64.exe,5d22e5d47698da4b1225c3231f28a838,eaedd181996b4fe1ae15b6ae40c37adb6729489e,78afa2a1c773caf3cf7edf62f857d2a8a5da55fb0fff5da416074c0d28b2b55f,0a525e8f
C:\Users\Administrator\Downloads\anydesk.dmg,e0742bce0958c4a2543f35782c3d16d1,282b78175b726f2f7f5bce08a5d3792ee54b0030,cc8d63013ea5cb46eb4a337f9113089b0c17c9bc37aeb436491649a22069efc0,3c139cb3
C:\Users\Administrator\Downloads\BaiduNetdisk_7.60.0.103.exe,60207586e21aeb7e7103853300ca4d20,e12105ca3b26a3bcb9262529119be68281282a86,5b5c27eeeac8ea9e6a55c58a48ff90e227999f1d3be761fd1cc1f4d8bdf8ad64,4222cbe7
C:\Users\Administrator\Downloads\BookwormPup64_10.0.11.iso,4256554ff7b7126cc55358c067fb762d,6879b02b5656010bb74955dc950b1fbf8328668d,3c30936bf1090cb8b006838ac91f6c57d32ff4743abf24d01e138ff815efc147,cc899c71
C:\Users\Administrator\Downloads\cloudreve_4.5.1_windows_amd64.zip,b74912a19bafe8d50e68e4ffa3bdda25,d64d75d717876668dfdf192feb21c213eb114e21,22f4e6631097ab201c20f7c074650f0b5bb38083ee339aac7bc8a3f29a3c3d51,85908ec7
C:\Users\Administrator\Downloads\CMCC-JTYDN-windows-2.6.2.0.exe,e6a9166e78445054b073373936199360,8915fe450d2fabe26292b1b8e88e6476e67aa3e9,3415dca7d1949013f2f0178a1ffab9c8d3d1b5df7677a7a9cc9ab6f9ec2c7ab1,6cca1449
C:\Users\Administrator\Downloads\ConEmuSetup.230724.exe,e25225375674b58afbe17827fa6e0352,2497c6c8363225f9492041e82ba87604212d0044,2a56edd5515ddd916410de3d84e00069ce07566b2f81c612a4241a8b109d7f4c,d70c3782
C:\Users\Administrator\Downloads\Core-16.1.iso,64645c5dfe254486a3991499857919b9,3d9e768bbb05b071babb67a500a431d1d7bbd8dd,a2c6d73114c0fc93f575482deb0deb4f1956f9dfcb23efa552f627ca57575db1,7025d73c
C:\Users\Administrator\Downloads\CorePlus-16.1.iso,cf63da8c451e78af9455f4b574a9a2c9,307ec8b3518559167058bb1c61f803f6855e65da,4a50812eb3f6c57a6ef45a73d7d62ec12e80d74c1f61baede37268f2a43db890,61108fc4
C:\Users\Administrator\Downloads\DB.Browser.for.SQLite-v3.13.1-win64.msi,70314a8d67758606169b1315df72a2d0,772c3f050ef1dbcfdedbaa87c6bd2eb8df273b6d,d023d54b3a5db10c7e896089bb3dbe6e7f4bc4eaa9bbecb34ca414be5970f688,559aa65f
C:\Users\Administrator\Downloads\desktop.ini,3a37312509712d4e12d27240137ff377,30ced927e23b584725cf16351394175a6d2a9577,b029393ea7b7cf644fb1c9f984f57c1980077562ee2e15d0ffd049c4c48098d3,c7b91acf
C:\Users\Administrator\Downloads\DesktopAppInstaller_Dependencies.zip,e84f4046d19c5dca5d98a70f19927563,e47516c1c9692f863eff8ffc8d9dbf11aad1608b,23ad2245edee7d100df3a07d8aa840a96d8aa3995771d41c62c5ddc47a26f580,8a822b3f
C:\Users\Administrator\Downloads\Exercise.zip,a11ab7e1f8b9abea3407808b34c97152,2d71d472512ec89c819e616d210571ded6e8749d,01e8b8674ca3d4c1fd0f3c241572b9e8264b1a52ab6dc2fb0bc2c36b53a43950,0eb4e149
C:\Users\Administrator\Downloads\FileZilla_3.69.3_win64_sponsored2-setup.exe,b50441b16022e354dde581f26fb16d86,dd86f9d881a4247c5f8beaf49199fbedb50bfc49,9d4427f0840b8c3a0426aaec545f2efb3c8e8f2d5d7db9a0cdc48e34b4097898,f6c5c54d
